iter	Passed	Remaining
150	14992	34651
151	15064	34489
152	15133	34322
153	15202	34156
154	15271	33990
155	15341	33831
156	15413	33675
157	15482	33512
158	15550	33351
159	15552	33049
160	15622	32894
161	15645	32643
162	15715	32492
163	15787	32344
164	15857	32195
165	15927	32045
166	15930	31764
167	16003	31625
168	16070	31476
169	16142	31334
170	16213	31194
171	16284	31055
172	16355	30913
173	16425	30774
174	16497	30637
175	16568	30500
176	16638	30362
177	16706	30221
178	16777	30087
179	16845	29946
180	16849	29695
181	16918	29560
182	16989	29430
183	17059	29297
184	17128	29163
185	17200	29037
186	17273	28913
187	17343	28782
188	17411	28651
189	17480	28521
190	17548	28390
191	17625	28274
192	17700	28156
193	17770	28030
194	17848	27916
195	17936	27819
196	18014	27707
197	18090	27593
198	18115	27401
199	18196	27294
200	18472	27478
201	18993	28019
202	19897	29111
203	20843	30243
204	21409	30808
205	21942	31315
206	22114	31301
207	22341	31364
208	22463	31276
209	22561	31156
210	22657	31032
211	22758	30917
212	22861	30804
213	22962	30688
214	23065	30574
215	23183	30481
216	23290	30373
217	23373	30235
218	23450	30088
219	23527	29943
220	23600	29794
221	23623	29582
222	23693	29430
223	23765	29282
224	23837	29134
225	23907	28984
226	23980	28840
227	24051	28692
228	24118	28542
229	24189	28396
230	24261	28252
231	24333	28108
232	24404	27965
233	24471	27817
234	24542	27675
235	24612	27532
236	24683	27391
237	24757	27254
238	24825	27111
239	24894	26968
240	24963	26828
241	25035	26691
242	25104	26550
243	25171	26409
244	25241	26272
245	25310	26133
246	25378	25994
247	25448	25858
248	25518	25723
249	25588	25588
250	25659	25455
251	25731	25322
252	25805	25193
253	25875	25060
254	25942	24925
255	26011	24791
256	26080	24659
257	26152	24530
258	26223	24401
259	26294	24271
260	26364	24141
261	26431	24009
262	26501	23881
263	26571	23753
264	26640	23624
265	26710	23496
266	26781	23371
267	26850	23243
268	26920	23117
269	26991	22993
270	27057	22864
271	27130	22741
272	27200	22617
273	27269	22492
274	27336	22365
275	27406	22242
276	27476	22119
277	27547	21998
278	27617	21876
279	27687	21754
280	27758	21633
281	27827	21512
282	27895	21390
283	27966	21270
284	28034	21148
285	28108	21032
286	28186	20918
287	28261	20803
288	28337	20689
289	28418	20579
290	28489	20461
291	28556	20341
292	28626	20223
293	28699	20109
294	28775	19996
295	28845	19879
296	28916	19764
297	28985	19647
298	29055	19532
299	29125	19416
300	29195	19301
301	29264	19186
302	29332	19071
303	29401	18956
304	29470	18841
305	29537	18726
306	29608	18613
307	29677	18500
308	29749	18388
309	29816	18274
310	29888	18163
311	29959	18052
312	30029	17941
313	30101	17830
314	30173	17720
315	30244	17610
316	30317	17501
317	30390	17393
318	30459	17282
319	30528	17172
320	30598	17062
321	30667	16953
322	30737	16843
323	30807	16734
324	30877	16626
325	30951	16520
326	31023	16412
327	31093	16305
328	31168	16199
329	31235	16090
330	31306	15984
331	31378	15878
332	31446	15770
333	31522	15666
334	31593	15560
335	31660	15453
336	31730	15347
337	31799	15241
338	31866	15134
339	31940	15030
340	32011	14926
341	32081	14821
342	32154	14718
343	32224	14613
344	32299	14511
345	32371	14408
346	32441	14304
347	32509	14199
348	32578	14095
349	32646	13991
350	32717	13888
351	32787	13785
352	32859	13683
353	32933	13582
354	33021	13487
355	33097	13387
356	33177	13289
357	33253	13190
358	33322	13087
359	33607	13069
360	34799	13399
361	35679	13601
362	36332	13712
363	36476	13628
364	36620	13544
365	36744	13453
366	36846	13353
367	36939	13250
368	37046	13152
369	37138	13048
370	37235	12946
371	37326	12843
372	37423	12741
373	37513	12638
374	37594	12531
375	37667	12422
376	37743	12314
377	37816	12205
378	37886	12095
379	37956	11986
380	38026	11877
381	38096	11768
382	38176	11662
383	38248	11554
384	38317	11445
385	38392	11338
386	38461	11230
387	38530	11122
388	38599	11014
389	38672	10907
390	38742	10800
391	38812	10693
392	38883	10586
393	38953	10479
394	39020	10372
395	39089	10265
396	39164	10161
397	39245	10057
398	39315	9952
399	39385	9846
400	39456	9741
401	39525	9635
402	39595	9530
403	39664	9425
404	39736	9320
405	39807	9216
406	39876	9111
407	39945	9007
408	40015	8903
409	40084	8798
410	40154	8695
411	40224	8591
412	40299	8489
413	40369	8385
414	40439	8282
415	40512	8180
416	40579	8076
417	40650	7974
418	40720	7871
419	40789	7769
420	40861	7667
421	40931	7565
422	41002	7463
423	41068	7361
424	41138	7259
425	41210	7158
426	41285	7058
427	41354	6956
428	41423	6855
429	41489	6754
430	41554	6652
431	41626	6552
432	41650	6444
433	41718	6344
434	41789	6244
435	41859	6144
436	41931	6045
437	42002	5945
438	42073	5846
439	42141	5746
440	42212	5647
441	42286	5548
442	42354	5449
443	42425	5350
444	42496	5252
445	42571	5154
446	42640	5055
447	42713	4957
448	42783	4859
449	42853	4761
450	42924	4663
451	42994	4565
452	43061	4467
453	43134	4370
454	43204	4272
455	43274	4175
456	43346	4078
457	43414	3981
458	43484	3884
459	43555	3787
460	43624	3690
461	43691	3593
462	43761	3497
463	43832	3400
464	43904	3304
465	43979	3208
466	44062	3113
467	44134	3017
468	44208	2922
469	44278	2826
470	44352	2730
471	44422	2635
472	44491	2539
473	44563	2444
474	44641	2349
475	44715	2254
476	44784	2159
477	44854	2064
478	44922	1969
479	44993	1874
480	45062	1780
481	45132	1685
482	45201	1590
483	45271	1496
484	45343	1402
485	45414	1308
486	45484	1214
487	45553	1120
488	45623	1026
489	45692	932
490	45763	838
491	45834	745
492	45907	651
493	45981	558
494	46050	465
495	46120	371
496	46193	278
497	46265	185
498	46338	92
499	46409	0
