iter	RMSE
0	152.1115142
1	148.8115445
2	145.8130743
3	142.6308642
4	139.9632831
5	137.6188436
6	135.3598708
7	133.1092453
8	130.3365802
9	127.9052875
10	125.9551673
11	124.37803
12	122.0341081
13	120.0476963
14	119.1414388
15	117.5440936
16	116.2916183
17	115.0126163
18	113.184035
19	112.3566616
20	111.2282939
21	110.288339
22	108.7014729
23	107.6809591
24	106.6841386
25	105.4573062
26	104.5983136
27	103.4895618
28	102.5956357
29	101.3988612
30	99.77521376
31	98.88611342
32	97.62157285
33	96.52068871
34	95.68951586
35	94.13892604
36	93.31223838
37	92.53839945
38	91.48306174
39	90.76117287
40	89.93917763
41	89.24479026
42	88.63918529
43	87.42137774
44	86.70819267
45	85.64602154
46	85.07462711
47	84.45377867
48	83.79594126
49	82.99579341
50	82.47832383
51	81.88422644
52	81.32775445
53	80.41015032
54	79.53557717
55	78.97361438
56	78.40565268
57	77.85297382
58	76.62024558
59	76.05660631
60	75.47071383
61	74.92738503
62	73.94910906
63	72.87579073
64	72.44181407
65	71.59902999
66	71.08772776
67	70.25741445
68	69.79830946
69	68.88971111
70	68.42990312
71	67.43291714
72	66.88039477
73	66.47450018
74	65.57756802
75	65.15556596
76	64.73452855
77	64.39097856
78	63.57526616
79	63.15972721
80	62.7580375
81	62.37773158
82	61.60561382
83	61.28561211
84	60.66593888
85	60.32970622
86	60.04894097
87	59.66732462
88	58.88239578
89	58.55552226
90	57.89704483
91	57.56783805
92	57.2626792
93	56.95974184
94	56.16554243
95	55.55332974
96	55.26252522
97	54.68010829
98	54.39594042
99	54.14420035
100	53.55828087
101	53.27320209
102	53.00784858
103	52.7599503
104	52.54719528
105	52.34620603
106	51.81870686
107	51.58103565
108	51.09966077
109	50.85443073
110	50.61457387
111	50.39840086
112	50.14102254
113	49.9413944
114	49.75870739
115	49.26806533
116	48.79476617
117	48.35945001
118	48.11949219
119	47.9191128
120	47.75601445
121	47.38094072
122	47.19652499
123	47.03478747
124	46.87174313
125	46.70900698
126	46.45119968
127	46.02909317
128	45.87005216
129	45.37540253
130	45.24285872
131	44.85070576
132	44.38815901
133	44.25010247
134	43.79810915
135	43.65979112
136	43.2152413
137	43.08053117
138	42.93710687
139	42.82320527
140	42.71738075
141	42.57999226
142	42.48322392
143	42.36544305
144	42.25497434
145	42.15246282
146	41.8132764
147	41.59935444
148	41.50970695
149	41.11327364
150	41.02071281
151	40.68017227
152	40.3357349
153	40.04931216
154	39.95479369
155	39.86464809
156	39.77360848
157	39.45041859
158	39.37690378
159	39.30858469
160	39.19659673
161	38.94608368
162	38.8242746
163	38.73944531
164	38.39648817
165	38.306587
166	38.24296708
167	38.17465994
168	37.86696607
169	37.64387351
170	37.57786154
171	37.51130786
172	37.28344506
173	36.97855423
174	36.91970481
175	36.63011995
176	36.57241577
177	36.50839082
178	36.45107482
179	36.39777246
180	36.30548853
181	36.25264595
182	36.20043691
183	35.91481387
184	35.86512538
185	35.81146975
186	35.76024365
187	35.50406799
188	35.4461591
189	35.32234659
190	35.27561976
191	34.98088128
192	34.93622969
193	34.62637159
194	34.40081128
195	34.36041133
196	34.29453987
197	34.25725592
198	34.21837024
199	34.15767355
200	33.92511888
201	33.64811094
202	33.61499382
203	33.5741416
204	33.49592591
205	33.44824567
206	33.38916215
207	33.19702906
208	32.9599552
209	32.9077469
210	32.87824343
211	32.69559936
212	32.48799341
213	32.45853049
214	32.4305718
215	32.26728488
216	32.24098357
217	32.05263841
218	31.8312978
219	31.80403689
220	31.77515298
221	31.75273989
222	31.56891986
223	31.33459046
224	31.30918938
225	31.28692248
226	31.13292084
227	31.10599682
228	30.96548118
229	30.90629372
230	30.88575179
231	30.70198352
232	30.5407055
233	30.35916888
234	30.15344762
235	30.13538546
236	29.99959852
237	29.8626434
238	29.74964695
239	29.72400861
240	29.5598711
241	29.5419981
242	29.3883603
243	29.368085
244	29.33557619
245	29.21712233
246	29.09000867
247	29.07392769
248	28.91860621
249	28.90557567
250	28.83153225
251	28.81056703
252	28.74259726
253	28.72967846
254	28.63706963
255	28.62297355
256	28.45893352
257	28.44500614
258	28.3128385
259	28.1703062
260	28.14405239
261	28.12963267
262	28.11623767
263	27.98261048
264	27.85710003
265	27.72669415
266	27.68431344
267	27.57170653
268	27.55107578
269	27.44515403
270	27.43422258
271	27.41436601
272	27.33308235
273	27.32396382
274	27.30190563
275	27.1877408
276	27.0888422
277	27.04072132
278	27.02822455
279	27.01993601
280	27.0095605
281	26.89975496
282	26.80608209
283	26.74384203
284	26.68505
285	26.67356586
286	26.61350406
287	26.60258734
288	26.49096427
289	26.34265637
290	26.25869988
291	26.15031974
292	26.14410162
293	26.04694875
294	26.01866922
295	25.8785022
296	25.75222155
297	25.65466488
298	25.58103994
299	25.5737468
300	25.48791118
301	25.47355737
302	25.30048044
303	25.16593995
304	25.07100468
305	25.06456698
306	24.96527684
307	24.95220707
308	24.8684184
309	24.86362218
310	24.72173682
311	24.6245574
312	24.53430058
313	24.47817805
314	24.37883453
315	24.26390428
316	24.25565504
317	24.13362567
318	24.02042282
319	23.8846727
320	23.87981523
321	23.75627321
322	23.75164524
323	23.68124775
324	23.67649134
325	23.62900051
326	23.52412523
327	23.39866475
328	23.30999262
329	23.18677078
330	23.18304674
331	23.1171681
332	23.0046622
333	22.87943564
334	22.78194782
335	22.76284126
336	22.65887672
337	22.53783949
338	22.44250005
339	22.387505
340	22.29351261
341	22.20574496
342	22.1285253
343	22.02289162
344	21.98631532
345	21.8949483
346	21.89219957
347	21.81119639
348	21.73649641
349	21.55422542
350	21.46874365
351	21.46521064
