iter	RMSE
352	21.40782199
353	21.31090972
354	21.29640193
355	21.24946834
356	21.16523769
357	21.03524304
358	20.9362592
359	20.87174244
360	20.77551472
361	20.70228086
362	20.5913437
363	20.51805589
364	20.44880176
365	20.44647322
366	20.42468921
367	20.35860453
368	20.2859763
369	20.23707529
370	20.13148783
371	20.05337485
372	19.9690911
373	19.96699019
374	19.90902757
375	19.89632084
376	19.885381
377	19.73752538
378	19.73564876
379	19.6709285
380	19.61606676
381	19.54018818
382	19.46083316
383	19.36694363
384	19.30556518
385	19.24049943
386	19.13664514
387	19.05272086
388	18.99212136
389	18.89824379
390	18.84508173
391	18.77042293
392	18.6332815
393	18.56735284
394	18.49351164
395	18.42768196
396	18.32380336
397	18.24499264
398	18.1898745
399	18.08198198
400	18.04115259
401	17.99655343
402	17.86788971
403	17.86595162
404	17.83286497
405	17.75886874
406	17.73650173
407	17.70137773
408	17.59831213
409	17.51777061
410	17.46118026
411	17.37192459
412	17.31506394
413	17.30418017
414	17.25012296
415	17.18280918
416	17.09739651
417	16.99380621
418	16.94053466
419	16.8868877
420	16.88068288
421	16.82149693
422	16.76637764
423	16.6830568
424	16.61824106
425	16.56793342
426	16.52656817
427	16.43334732
428	16.42540183
429	16.34780596
430	16.34662499
431	16.28183607
432	16.28075972
433	16.203915
434	16.15267687
435	16.12467621
436	16.04893239
437	16.02121692
438	15.99800526
439	15.89817865
440	15.85920759
441	15.77951541
442	15.73121298
443	15.66031253
444	15.58792177
445	15.53100821
446	15.48578136
447	15.40267862
448	15.35077568
449	15.30650803
450	15.27634412
451	15.24637684
452	15.19239744
453	15.11598716
454	15.03923527
455	14.97971532
456	14.93240226
457	14.93114548
458	14.92249206
459	14.8533327
460	14.80402012
461	14.80049755
462	14.77373739
463	14.74492795
464	14.67519808
465	14.60354697
466	14.56348381
467	14.50611469
468	14.44461241
469	14.39340225
470	14.35455319
471	14.28360143
472	14.22310811
473	14.20380133
474	14.18143659
475	14.14848935
476	14.11889011
477	14.09634401
478	14.03913531
479	13.97939708
480	13.93195957
481	13.8932353
482	13.85317999
483	13.79084107
484	13.7521315
485	13.70836047
486	13.65951601
487	13.62671744
488	13.59547651
489	13.54345042
490	13.48874263
491	13.44440837
492	13.39607909
493	13.33304564
494	13.29591697
495	13.26964761
496	13.22616082
497	13.1754428
498	13.13144776
499	13.09681311
